City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
496,berezovyy,51.6667,135.7,-7.97,71,100,0.91,RU,1701827894
497,ulanhot,46.0833,122.0833,-9.45,48,0,8.75,CN,1701827895
498,sparta,43.9441,-90.8129,1.23,88,100,0.0,US,1701827793
499,machico,32.7,-16.7667,19.84,83,20,0.0,PT,1701827895
500,lompoc,34.6391,-120.4579,21.08,57,0,3.09,US,1701827895
501,aitape,-3.1374,142.3475,29.89,71,100,3.35,PG,1701827895
502,akureyri,65.6835,-18.0878,-16.04,92,0,1.54,IS,1701827896
503,soio,-6.1349,12.3689,25.67,82,100,1.32,AO,1701827896
504,betioky,-23.7167,44.3833,19.75,59,15,1.25,MG,1701827896
505,kirakira,-10.4544,161.9205,26.39,91,100,6.47,SB,1701827896
506,karabanovo,56.3167,38.7,-18.93,100,70,1.16,RU,1701827896
507,nova vicosa,-17.8919,-39.3719,24.75,86,0,4.91,BR,1701827897
508,noshiro,40.2039,140.0242,4.46,72,98,2.34,JP,1701827897
509,urangan,-25.3,152.9,27.21,55,0,5.19,AU,1701827897
510,ende,-8.8432,121.6623,31.47,64,95,1.45,ID,1701827897
511,cuatro cienegas de carranza,26.9833,-102.0833,16.19,52,0,2.68,MX,1701827758
512,bodo,67.28,14.405,-4.01,86,100,6.69,NO,1701827736
513,sao felix do xingu,-6.6447,-51.995,22.81,89,66,1.08,BR,1701827898
514,pahrump,36.2083,-115.9839,17.03,39,0,0.45,US,1701827691
515,kasongo-lunda,-6.4667,16.8167,20.97,98,100,0.29,CD,1701827898
516,ancud,-41.8697,-73.8203,10.63,91,0,1.17,CL,1701827898
517,nema,57.5067,50.5011,-19.92,100,87,1.67,RU,1701827898
518,prosser,46.2068,-119.7689,13.96,83,100,0.89,US,1701827899
519,mongar,27.2747,91.2396,11.45,59,100,1.5,BT,1701827899
520,morant bay,17.8815,-76.4093,27.79,85,16,3.77,JM,1701827899
521,chinatown,49.2801,-123.1015,11.08,94,75,4.12,CA,1701827899
522,fundao,-19.9341,-40.4047,26.74,95,8,0.3,BR,1701827900
523,santa ana,33.7456,-117.8678,25.29,53,0,2.06,US,1701827510
524,ghat,24.9647,10.1728,16.58,24,1,2.78,LY,1701827900
525,bereznik,62.8551,42.7072,-22.27,99,98,0.9,RU,1701827900
526,robore,-18.3333,-59.75,23.47,94,84,1.81,BO,1701827900
527,chegdomyn,51.1167,133.0167,-6.38,84,100,1.25,RU,1701827900
528,biharamulo,-2.6319,31.3089,14.94,96,100,0.42,TZ,1701827901
529,yulinshi,38.2906,109.7494,0.92,48,0,5.32,CN,1701827901
530,masuguru,-11.3667,38.4167,25.26,82,100,1.88,TZ,1701827901
531,kangding,30.0513,101.9603,5.74,29,99,1.09,CN,1701827901
532,richards bay,-28.783,32.0377,20.1,82,100,2.99,ZA,1701827901
533,altai,46.3722,96.2583,-5.7,62,8,2.8,MN,1701827901
534,mana,5.6592,-53.7767,25.13,93,77,3.62,GF,1701827902
535,kantemirovka,49.7089,39.8592,-3.87,78,100,2.39,RU,1701827902
536,tacna,-18.0056,-70.2483,17.11,77,75,4.63,PE,1701827902
537,salinopolis,-0.6136,-47.3561,26.43,86,91,4.32,BR,1701827697
538,kabansk,52.0486,106.6528,-15.36,82,100,0.71,RU,1701827903
539,kudahuvadhoo,2.6708,72.8944,27.62,80,100,3.93,MV,1701827903
540,kenai,60.5544,-151.2583,-2.14,89,75,0.0,US,1701827903
541,kulob,37.9145,69.783,7.42,61,0,2.0,TJ,1701827903
542,karratha,-20.7377,116.8463,35.69,31,3,5.1,AU,1701827664
543,balqash,46.8481,74.995,0.33,93,100,4.0,KZ,1701827903
544,saint-pierre,-21.3393,55.4781,20.87,78,0,2.57,RE,1701827903
545,holualoa,19.6228,-155.9522,25.91,82,40,4.63,US,1701827904
546,lamu,-2.2717,40.902,24.12,86,98,3.22,KE,1701827904
547,lerwick,60.1545,-1.1494,-2.0,68,14,2.03,GB,1701827904
548,lewiston orchards,46.3804,-116.9754,13.95,72,100,3.6,US,1701827686
549,castillos,-34.1667,-53.8333,17.38,95,100,4.92,UY,1701827904
550,virginia beach,36.8529,-75.978,9.45,70,75,3.09,US,1701827578
551,san pedro de ycuamandiyu,-24.0917,-57.0764,23.42,93,35,2.39,PY,1701827905
552,necochea,-38.5473,-58.7368,13.94,90,100,2.38,AR,1701827905
553,ujae,8.9322,165.7642,28.1,78,9,10.12,MH,1701827905
554,greenland,43.0362,-70.8328,1.03,85,100,2.06,US,1701827905
555,almodovar,37.4959,-8.0937,10.04,95,100,3.31,PT,1701827905
556,keflavik,64.0049,-22.5624,1.24,75,0,9.26,IS,1701827906
557,sola,-13.8833,167.55,26.85,80,100,4.02,VU,1701827906
558,letterkenny,54.95,-7.7333,4.66,89,90,5.15,IE,1701827906
559,abrisham,32.558,51.5731,-4.43,23,6,0.53,IR,1701827906
560,rawdon,46.0501,-73.7159,-8.61,97,100,1.64,CA,1701827906
561,la baneza,42.3003,-5.8977,0.94,85,57,2.18,ES,1701827907
562,kristiansund,63.1115,7.732,-2.64,68,20,2.57,NO,1701827907
563,fairfield,41.2668,-73.3162,4.0,62,100,3.09,US,1701827901
564,kolonia town,6.964,158.206,27.06,94,100,4.12,FM,1701827907
565,chengde,40.9725,117.9361,-1.36,25,1,7.13,CN,1701827907
566,tukrah,32.5341,20.5791,17.3,64,2,6.75,LY,1701827907
567,santa rosa misiones,-26.8667,-56.85,23.43,98,99,2.0,PY,1701827908
568,laojunmiao,39.8333,97.7333,3.47,18,64,5.23,CN,1701827908
569,quatre cocos,-20.2078,57.7625,24.49,77,26,2.36,MU,1701827908
570,krasnokamsk,58.0802,55.7541,-18.81,97,98,2.11,RU,1701827908
571,wonju,37.3514,127.9453,5.5,73,100,1.94,KR,1701827801
572,kupang,-10.1667,123.5833,33.32,66,40,2.57,ID,1701827909
573,jhargram,22.45,86.9833,19.24,86,100,2.21,IN,1701827909
574,acapulco de juarez,16.8634,-99.8901,26.82,82,91,1.45,MX,1701827818
575,robertsport,6.7533,-11.3686,27.3,78,2,3.01,LR,1701827909
576,drayton valley,53.2168,-114.9854,1.13,94,100,1.83,CA,1701827701
577,athni,16.7333,75.0667,20.52,88,100,2.68,IN,1701827909
578,cockburn town,21.4612,-71.1419,27.2,81,13,7.14,TC,1701827910
